series,round,uk_airdate,viewers_7day,channels_rank
8,1,2020-09-22,11211907,1
8,2,2020-09-29,10806516,1
8,3,2020-10-06,10698161,1
8,4,2020-10-13,10629433,1
8,5,2020-10-20,10657511,2
8,6,2020-10-27,10370564,3
8,7,2020-11-03,10866618,2
8,8,2020-11-10,10911563,3
8,9,2020-11-17,10827776,8
8,10,2020-11-24,11744692,1
9,1,2021-09-21,9610000,3
9,2,2021-09-28,8978000,2
9,3,2021-10-05,8694000,2
9,4,2021-10-12,8539000,2
9,5,2021-10-19,8711000,3
9,6,2021-10-26,9151000,2
9,7,2021-11-02,9084000,2
9,8,2021-11-09,9051000,3
9,9,2021-11-16,9385000,3
9,10,2021-11-23,9607000,3
10,1,2022-09-13,8301000,1
10,2,2022-09-20,7601000,5
10,3,2022-09-27,7857000,3
10,4,2022-10-04,7770000,3
10,5,2022-10-11,8317000,2
10,6,2022-10-18,7794000,3
10,7,2022-10-25,7512000,3
10,8,2022-11-01,7414000,4
10,9,2022-11-08,7699000,10
10,10,2022-11-15,8125000,10
11,1,2023-09-26,7836000,2
11,2,2023-10-03,7543000,2
11,3,2023-10-10,7282000,3
11,4,2023-10-18,7120000,4
11,5,2023-10-24,5885000,4
11,6,2023-10-31,6320000,3
11,7,2023-11-07,6937000,3
11,8,2023-11-14,6771000,4
11,9,2023-11-21,6473000,11
11,10,2023-11-28,6750000,10
12,1,2024-09-24,6621000,3
12,2,2024-10-01,6520000,3
12,3,2024-10-08,6497000,3
12,4,2024-10-15,6409000,4
12,5,2024-10-22,6316000,4
12,6,2024-10-29,6139000,4
12,7,2024-11-05,6432000,3
12,8,2024-11-12,6386000,4
12,9,2024-11-19,6260000,10
12,10,2024-11-26,6743000,10
